Ticker,MarketCap,PE,Revenue,NetIncome,TotalAssets,TotalDebt,Symbol,Sector,ProfitMargin,ROA,DebtRatio,EarningsYield,LogMarketCap,SizeGroup,PM_z,ROA_z,Debt_z,FinancialStrengthScore
JNJ,564350156800,21.231188,94193000000.0,26804000000.0,199210000000.0,47933000000.0,JNJ,Health Care,0.2845646704107524,0.1345514783394407,0.2406154309522614,0.0471005202346661,27.05894074118977,Large,0.8779555366309182,0.9753095472175544,-0.416731134215186,2.2699962180636586
AVGO,1927517437952,79.40234,63887000000.0,23126000000.0,171092000000.0,65136000000.0,AVGO,Information Technology,0.3619828760154648,0.1351670446309587,0.3807074556379024,0.0125940872775285,28.28725398927008,Large,1.4332932619784942,0.9846016239777511,0.399847343679826,2.0180475422764195
LLY,829709287424,40.323185,65179000000.0,20640000000.0,112476000000.0,42503000000.0,LLY,Health Care,0.3166664109605854,0.1835058145737757,0.3778850599238949,0.0247996283031709,27.444341220267397,Large,1.1082283443948475,1.7142834908884599,0.38339596037422147,2.4391158749090858
D,54864977920,17.988472,16506000000.0,2998000000.0,115857000000.0,48941000000.0,D,Utilities,0.1816309220889373,0.0258767273449165,0.4224259216102609,0.0555911586042438,24.728141056946733,Mid,0.13958924141602144,-0.6651541072268474,0.6430189412084254,-1.1685838070192514
CHD,22948458496,32.079468,6203200000.0,736800000.0,8912400000.0,2205100000.0,CHD,Consumer Staples,0.118777405210214,0.0826713343207216,0.2474193258830393,0.0311725867773118,23.85651660326681,Smaller,-0.3112727854274556,0.1921700426758037,-0.37707210166997596,0.25796935891832407
KHC,26598744064,,24942000000.0,-5846000000.0,81786000000.0,21219000000.0,KHC,Consumer Staples,-0.2343837703472055,-0.0714792262734453,0.2594453818501944,,24.004129835980272,Smaller,-2.8445751576952434,-2.134758610509719,-0.3069737609630316,-4.672360007241931
REGN,79350120448,18.081669,14342900000.0,4504900000.0,40558700000.0,2705900000.0,REGN,Health Care,0.314085714883322,0.1110711142122405,0.066715649170215,0.0553046292352768,25.09713580185089,Large,1.0897164468616187,0.6208694993564563,-1.4303707002968733,3.1409566465149483
ED,40581599232,19.530142,16918000000.0,2023000000.0,74603000000.0,28376000000.0,ED,Utilities,0.1195767821255467,0.0271168719756578,0.3803600391405171,0.0512029047203036,24.42658057993177,Mid,-0.3055386799365218,-0.6464339153297619,0.39782229739138003,-1.3497948926576637
BK,92979470336,16.741018,19759000000.0,5549000000.0,472300000000.0,34298000000.0,BK,Financials,0.2808340503061896,0.0117488884183781,0.0726190980309125,0.0597335239708839,25.25564455665573,Large,0.8511949824844948,-0.8784162133070246,-1.3959602526228059,1.368739021800276
HBAN,34325467136,12.122303,8131000000.0,2211000000.0,225106000000.0,18460000000.0,HBAN,Financials,0.2719222727831755,0.009822039394774,0.082005810595897,0.0824925758744027,24.25915339771396,Mid,0.7872688527094971,-0.9075023235754851,-1.341246306729363,1.221012835863375
A,34469666816,26.902868,6948000000.0,1303000000.0,12727000000.0,3354000000.0,A,Health Care,0.1875359815774323,0.1023807653021136,0.2635342185903984,0.0371707581511383,24.26334555151608,Mid,0.1819475249588696,0.4896872201145923,-0.2831404550402341,0.954775200113696
MA,465227776000,31.536598,32791000000.0,14968000000.0,54157000000.0,19000000000.0,MA,Financials,0.4564667134274648,0.2763816311834112,0.350831840759274,0.0317091906996436,26.86579296346111,Large,2.1110464976760217,3.1162595720908692,0.2257062091041011,5.0015998606627905
COF,128410214400,61.267063,53434000000.0,2453000000.0,669009000000.0,50413000000.0,COF,Financials,0.0459071003480929,0.0036666173399759,0.0753547411170851,0.0163219836407043,25.578495776440096,Large,-0.8339874238180346,-1.0004194553494565,-1.3800145392791412,-0.45439233988835004
PPL,29349482496,24.54088,9042000000.0,1181000000.0,45244000000.0,19350000000.0,PPL,Utilities,0.1306126963061269,0.0261029086729732,0.4276810184775882,0.0407483350230309,24.102540750901525,Mid,-0.22637565322589734,-0.6617398620172157,0.6736502281124603,-1.5617657433555734
O,60693209088,55.632477,5749377000.0,1058590000.0,72795612000.0,29345846000.0,O,Real Estate,0.1841225579745422,0.0145419479404885,0.4031265785635541,0.0179751119116986,24.829097652114,Mid,0.15746229071105683,-0.8362545097945608,0.5305255412106967,-1.209317760294201
XYL,29446856704,30.895409,9035000000.0,957000000.0,17634000000.0,2063000000.0,XYL,Industrials,0.1059214167127836,0.0542701599183395,0.1169899058636724,0.0323672685478933,24.105853008036902,Mid,-0.40349160338495976,-0.23655046438100225,-1.1373284939316857,0.4972864261657237
AMP,42383585280,12.5778885,18480000000.0,3563000000.0,190904000000.0,5862000000.0,AMP,Financials,0.1928030303030303,0.0186638310354942,0.0307065331265976,0.0795046004740779,24.47002698460379,Mid,0.21972921772378706,-0.7740339908299823,-1.6402632279780425,1.0859584548718473
MAA,15332695040,33.93634,2209126000.0,446909000.0,11975383000.0,5429651000.0,MAA,Real Estate,0.202301272086789,0.0373189734307453,0.453401031098546,0.0294669372124395,23.453253316074846,Smaller,0.2878621839401053,-0.4924314770185053,0.8235688891111181,-1.0281381821895181
SLB,79049678848,22.408512,35708000000.0,3374000000.0,54868000000.0,11636000000.0,SLB,Energy,0.0944886299988798,0.0614930378362615,0.2120726106291463,0.0446258993011227,25.093342337949743,Large,-0.48550148359970935,-0.1275199067178232,-0.5831035799456321,-0.029917810371900444
WMB,87006273536,33.24766,11950000000.0,2618000000.0,58573000000.0,29393000000.0,WMB,Energy,0.2190794979079497,0.0446963618049271,0.5018182439007733,0.0300773046885104,25.18924606261042,Large,0.40821606827663653,-0.3810685580165034,1.105786624365351,-1.0786391141052178
WTW,28140644352,18.316309,9708000000.0,1605000000.0,29530000000.0,6903000000.0,WTW,Financials,0.165327564894932,0.0543515069420927,0.2337622756518794,0.0545961525326964,24.06048078645152,Smaller,0.02264169362763871,-0.23532251736807483,-0.45667729914871097,0.24399647540827485
GDDY,11584337920,13.781351,4951100000.0,875000000.0,8034900000.0,3862600000.0,GDDY,Information Technology,0.1767284037890569,0.1088999240811957,0.4807278248640306,0.0725618264856616,23.172919843435015,Smaller,0.10442240514198717,0.5880950189525689,0.9828532717077918,-0.2903358476132357
HAL,31114921984,24.766668,22184000000.0,1283000000.0,25010000000.0,8133000000.0,HAL,Energy,0.0578344752975117,0.0512994802079168,0.3251899240303878,0.0403768484319327,24.160953347620723,Mid,-0.7484297539903744,-0.281393374526611,0.07624275906281801,-1.1060658875798035
BF-B,13371209728,16.947674,3975000000.0,869000000.0,8086000000.0,2733000000.0,BF-B,Consumer Staples,0.2186163522012578,0.1074697007172891,0.3379915904031659,0.0590051472550156,23.316369704744982,Smaller,0.40489382280156033,0.5665055565912133,0.15086203353372468,0.8205373458590488
UHS,11142814720,7.8999567,17364829000.0,1488796000.0,15527593000.0,5166503000.0,UHS,Health Care,0.0857362891393862,0.0958806686908911,0.3327304495938295,0.126582972283886,23.13406070739396,Smaller,-0.5482839393078015,0.39156716790830737,0.12019551726543944,-0.27691228866493356
VTRS,17093698560,,14299900000.0,-3514900000.0,37193100000.0,14698000000.0,VTRS,Health Care,-0.2457989216707809,-0.0945040881238724,0.3951808265511614,,23.56197572727712,Smaller,-2.926458535397127,-2.4823227748493486,0.4842107699125422,-5.892992080159017
RCL,77854097408,18.27657,17934000000.0,4268000000.0,41619000000.0,22035000000.0,RCL,Consumer Discretionary,0.2379837180773948,0.1025493164179821,0.5294456858646291,0.0547148617054513,25.078102365928743,Mid,0.5438201751707181,0.49223152757302163,1.2668234468226,-0.23077174407886036
CVX,366489468928,27.793053,184432000000.0,12299000000.0,324012000000.0,40758000000.0,CVX,Energy,0.0666858245857551,0.0379584706739256,0.1257916373467649,0.0359802141923739,26.62723562369385,Large,-0.6849370891630876,-0.4827781585157785,-1.0860243278777493,-0.08169091980111687
NKE,68165230592,30.282894,46309000000.0,3219000000.0,36579000000.0,11018000000.0,NKE,Consumer Discretionary,0.0695113260921203,0.0880013122283277,0.3012110773941332,0.0330219430150896,24.94520045642922,Mid,-0.6646691487315739,0.2726269561391711,-0.06352686830782317,-0.32851532428457964
LITE,63836598272,256.1805,1645000000.0,25900000.0,4218700000.0,2608200000.0,LITE,Information Technology,0.0157446808510638,0.0061393320217128,0.6182473273757318,0.0039034977291401,24.879592503455225,Mid,-1.0503490574108434,-0.9630934111112248,1.7844368471744843,-3.7978793156965525
GILD,170839277568,20.270987,29442000000.0,8510000000.0,59023000000.0,24936000000.0,GILD,Health Care,0.2890428639358739,0.1441810819511038,0.4224793724480287,0.0493315890341205,25.863989054205515,Large,0.9100785984673688,1.120670034240302,0.6433304992992204,1.3874181334084503
VICI,31011371008,11.1149435,4006116000.0,2775493000.0,46724168000.0,17689740000.0,VICI,Real Estate,0.6928139374895784,0.059401656975465,0.378599357831262,0.0899689683532804,24.1576197808841,Mid,3.806416840835703,-0.15908965275671844,0.38755951143482087,3.259767676644164
EMR,82292916224,35.870102,18016000000.0,2293000000.0,41964000000.0,13759000000.0,EMR,Industrials,0.127275754884547,0.0546420741588027,0.3278762749022972,0.0278783706831945,25.133550868312582,Large,-0.2503122640553982,-0.2309363563341302,0.09190115439972643,-0.5731497747892549
ABT,168225079296,27.117647,44328000000.0,6524000000.0,86713000000.0,13860000000.0,ABT,Health Care,0.1471756000721891,0.0752367003794125,0.1598376252695674,0.0368763558283651,25.848568677389384,Large,-0.10756632109593764,0.07994299220452324,-0.8875746227013235,0.8599512938099091
NEE,191806160896,27.872728,27412000000.0,6835000000.0,212721000000.0,95619000000.0,NEE,Utilities,0.2493433532759375,0.0321312893414378,0.4495042802544177,0.0358773637083532,25.97975112033972,Large,0.6253053235626486,-0.5707404413489343,0.8008552272865092,-0.7462903450727949
KDP,36045414400,17.33987,16603000000.0,2079000000.0,55459000000.0,16141000000.0,KDP,Consumer Staples,0.1252183340360176,0.0374871526713428,0.2910438341838114,0.0576705592371799,24.308045491477053,Mid,-0.2650705938975905,-0.4898927830798723,-0.12279042741265452,-0.6321729495648083
BKNG,152039981056,29.004532,26917000000.0,5404000000.0,29264000000.0,19293000000.0,BKNG,Consumer Discretionary,0.2007653155998068,0.1846637506834335,0.6592741935483871,0.034477370639871,25.747409356468665,Large,0.2768444320424608,1.731762731325441,2.02357719800634,-0.014970034638438268
FCX,100905926656,46.19079,25915000000.0,2204000000.0,58167000000.0,10492000000.0,FCX,Materials,0.0850472699208952,0.03789090033868,0.1803771898155311,0.0216493374545012,25.337454500499703,Large,-0.5532264248966726,-0.4837981440972924,-0.7678521303524176,-0.2691724386415474
TECH,9266728960,111.75472,1219635000.0,73400000.0,2557868000.0,444058000.0,TECH,Health Care,0.0601819396786743,0.0286957731986169,0.1736047364445702,0.0089481679163081,22.949696291254455,Smaller,-0.7315908784366643,-0.6226001356659582,-0.807327894070472,-0.5468631200321503
ORLY,78574616576,31.552189,17781992000.0,2538209000.0,16538253000.0,8491499000.0,ORLY,Consumer Discretionary,0.1427404196335258,0.1534750375387291,0.5134459486137986,0.0316935221198123,25.087314539898124,Mid,-0.1393808406533817,1.2609638578561295,1.1735630266072408,-0.05198000940449288
CDW,17279981568,16.579208,22424100000.0,1066600000.0,16028200000.0,5787600000.0,CDW,Information Technology,0.0475648966959655,0.0665452140602188,0.361088581375326,0.0603165121035938,23.572814533655084,Smaller,-0.822095687943688,-0.051256456418611505,0.2854914371298487,-1.1588435814921483
WELL,148317765632,149.30498,10667136000.0,936845000.0,67303047000.0,21380295000.0,WELL,Real Estate,0.0878253544344048,0.0139198006889643,0.3176720215950995,0.0066977002374602,25.722622874141315,Large,-0.5332986169281831,-0.8456459272535192,0.03242186817808395,-1.4113664123597862
EVRG,18968506368,22.505465,5961600000.0,855600000.0,33948500000.0,15202200000.0,EVRG,Utilities,0.1435185185185185,0.0252028808342047,0.4478018174587979,0.0444336520040798,23.66604588126209,Smaller,-0.1337993671290066,-0.6753259337033818,0.7909317895930386,-1.600057090425427
APH,185717784576,45.227547,23094700000.0,4270300000.0,36236900000.0,15502000000.0,APH,Information Technology,0.1849038956990132,0.117843965681391,0.4277959759250929,0.0221104186791293,25.94749407118787,Large,0.16306699713956085,0.7231068320433431,0.6743203003575913,0.21185352882531272
BLDR,9788549120,22.750643,15190638000.0,435199000.0,11237530000.0,5100271000.0,BLDR,Industrials,0.0286491587779262,0.0387272825967984,0.4538605013735224,0.0439548016291231,23.00447908230181,Smaller,-0.9577824141681386,-0.471172813161549,0.8262470825244843,-2.2552023098541722
MMM,81401487360,25.758333,24948000000.0,3250000000.0,37733000000.0,12602000000.0,MMM,Industrials,0.1302709636042969,0.0861315029284711,0.3339782153552593,0.0388223880792285,25.122659382023844,Large,-0.22882697665594592,0.24440187009953124,0.12746858415503706,-0.11189369071145175
